claim_text,predicted_winner,scope,state,source_type,hedged,attributed_to,page_id,source,arm,window,window_kind,cycle,newspaper_title,lccn,date,publisher_state,predicted_norm,correct
"Ex-Alabama Governor Wallace thought to lead in 9 of 11 states of Old Confederacy, with total of 91 electoral votes",Wallace,state,Southern states,correspondent_analysis,True,,https://www.nytimes.com/1968/09/08/archives/wallace-and-nixon-vie-in-south-conservatives-shun-humphrey.html,nyt,elections,1968,,1968,The New York Times,,1968-09-08,,Wallace,
Wallace and Nixon in close competition for conservative vote in South; Wallace leading in all but 2 of 11 Southern states,Wallace,state,Southern states,correspondent_analysis,True,,https://www.nytimes.com/1968/09/08/archives/wallace-and-nixon-vie-in-south-conservatives-shun-humphrey.html,nyt,elections,1968,,1968,The New York Times,,1968-09-08,,Wallace,
Humphrey chances of eking out plurality all but non-existent except in a few states,Humphrey,state,few Southern states,correspondent_analysis,True,,https://www.nytimes.com/1968/09/08/archives/wallace-and-nixon-vie-in-south-conservatives-shun-humphrey.html,nyt,elections,1968,,1968,The New York Times,,1968-09-08,,Humphrey,
Study finds Nixon is leading in 30 states and Wallace in eight states in the presidential election campaign outlook.,Nixon,state,,reported_poll,True,Times Survey,https://www.nytimes.com/1968/09/15/archives/six-lean-to-humphrey-with-six-indefinite-in-times-survey-study.html,nyt,elections,1968,,1968,The New York Times,,1968-09-15,,Nixon,
"G Hart says he expects McGovern to be within 5 percentage points of President towards end of October, with race a toss up by Election Day",,national,,correspondent_analysis,True,G Hart,https://www.nytimes.com/1972/09/03/archives/mcgovern-will-start-formal-drive-today.html,nyt,elections,1972,,1972,The New York Times,,1972-09-03,,,False
Most political observers among Republicans on Long Island expect a landslide vote for President Nixon.,Nixon,state,New York,correspondent_analysis,True,Republican political observers on Long Island,https://www.nytimes.com/1972/10/22/archives/g-o-p-expects-landslide-on-li-gop-expecting-a-landslide-on-li.html,nyt,elections,1972,,1972,The New York Times,,1972-10-22,,Nixon,
"Suffolk County Republican chairman E. Schwenk has been calling on voters to double the plurality of 96,000 votes Nixon received in the county in the 1968 election.",Nixon,state,New York,correspondent_analysis,False,E. Schwenk,https://www.nytimes.com/1972/10/22/archives/g-o-p-expects-landslide-on-li-gop-expecting-a-landslide-on-li.html,nyt,elections,1972,,1972,The New York Times,,1972-10-22,,Nixon,
"Nassau County Democratic chairman M. Cristenfeld says there has been a change in sentiment toward Democratic presidential candidate McGovern and he will win the county by 50,000 votes.",McGovern,state,New York,correspondent_analysis,False,M. Cristenfeld,https://www.nytimes.com/1972/10/22/archives/g-o-p-expects-landslide-on-li-gop-expecting-a-landslide-on-li.html,nyt,elections,1972,,1972,The New York Times,,1972-10-22,,Mcgovern,
"Americans, in choosing between Nixon and McGovern, seem determined to choose the more conservative of the two candidates.",Nixon,national,,correspondent_analysis,True,J Reston,https://www.nytimes.com/1972/11/01/archives/the-conservative-tide.html,nyt,elections,1972,,1972,The New York Times,,1972-11-01,,Nixon,True
Williams is heavily favored over Norcross in New Jersey Senate race in November.,Williams,state,New Jersey,correspondent_analysis,False,political observers,https://www.nytimes.com/1976/09/20/archives/new-jersey-pages-democrats-expected-to-maintain-control-of.html,nyt,elections,1976,,1976,The New York Times,,1976-09-20,,Williams,
Tom Wicker sees Carter facing a tight race in Texas,Carter,state,Texas,correspondent_analysis,True,Tom Wicker,https://www.nytimes.com/1976/09/26/archives/a-tight-race-in-texas.html,nyt,elections,1976,,1976,The New York Times,,1976-09-26,,Carter,
Senator Dole predicts Jimmy Carter will lose Southern support as his liberal philosophy becomes more apparent,Republican,state,Georgia,correspondent_analysis,True,Dole,https://www.nytimes.com/1976/09/01/archives/dole-predicts-carter-losses-in-the-south.html,nyt,elections,1976,,1976,The New York Times,,1976-09-01,,Republican,
Senator Dole predicts Jimmy Carter will lose Southern support as his liberal philosophy becomes more apparent,Republican,state,North Carolina,correspondent_analysis,True,Dole,https://www.nytimes.com/1976/09/01/archives/dole-predicts-carter-losses-in-the-south.html,nyt,elections,1976,,1976,The New York Times,,1976-09-01,,Republican,
Canadians predict a Conservative landslide in the election today,Conservative,national,,reported_poll,True,Canadians,https://www.nytimes.com/1984/09/04/world/canadians-predict-a-conservative-landslide-in-the-election-today.html,nyt,elections,1984,,1984,The New York Times,,1984-09-04,,Conservative,False
"Crucial Midwestern states are seen tipping markedly, if not yet decisively, in Pres Clinton's direction",Clinton,state,Midwestern states,correspondent_analysis,True,,https://www.nytimes.com/1996/09/15/us/crucial-midwest-states-lean-toward-clinton.html,nyt,elections,1996,,1996,The New York Times,,1996-09-15,,Clinton,
"In states where Democratic Presidential nominees usually win without much difficulty, like Minnesota, Clinton seems unbeatable",Clinton,state,Minnesota,correspondent_analysis,False,,https://www.nytimes.com/1996/09/15/us/crucial-midwest-states-lean-toward-clinton.html,nyt,elections,1996,,1996,The New York Times,,1996-09-15,,Clinton,
"In battleground states, like Missouri and Ohio, he is running strongly",Clinton,state,Missouri,correspondent_analysis,True,,https://www.nytimes.com/1996/09/15/us/crucial-midwest-states-lean-toward-clinton.html,nyt,elections,1996,,1996,The New York Times,,1996-09-15,,Clinton,
"In battleground states, like Missouri and Ohio, he is running strongly",Clinton,state,Ohio,correspondent_analysis,True,,https://www.nytimes.com/1996/09/15/us/crucial-midwest-states-lean-toward-clinton.html,nyt,elections,1996,,1996,The New York Times,,1996-09-15,,Clinton,
"Even in Indiana, historically Republicans' most reliable regional redoubt, recent poll shows Clinton with narrow advantage",Clinton,state,Indiana,reported_poll,False,recent poll,https://www.nytimes.com/1996/09/15/us/crucial-midwest-states-lean-toward-clinton.html,nyt,elections,1996,,1996,The New York Times,,1996-09-15,,Clinton,
Bob Dole predicts victory in Michigan despite polls showing him falling behind,Dole,state,Michigan,correspondent_analysis,True,Bob Dole,https://www.nytimes.com/1996/10/23/us/dole-shows-high-spirits-across-michigan.html,nyt,elections,1996,,1996,The New York Times,,1996-10-23,,Dole,
Pres Clinton has wide lead over Bob Dole in Oregon,Clinton,state,Oregon,reported_poll,False,,https://www.nytimes.com/1996/11/03/us/in-this-campaign-the-most-telling-signs-in-oregon-say-help-wanted.html,nyt,elections,1996,,1996,The New York Times,,1996-11-03,,Clinton,
"Vice President Al Gore has edged ahead of Gov. George W. Bush in the battle for electoral votes, according to independent and partisan analysts.",Gore,national,,correspondent_analysis,True,independent and partisan analysts,https://www.nytimes.com/2000/09/16/politics/as-electoral-vote-takes-shape-campaigns-focus-on-perceptions.html,nyt,elections,2000,,2000,The New York Times,,2000-09-16,,Gore,False
"Latest poll shows Vice Pres Al Gore has erased Bush's big lead in Colorado, indicating Bush may not win the state",Gore,state,Colorado,reported_poll,True,,https://www.nytimes.com/2000/09/17/us/the-2000-campaign-the-numbers-gun-plan-shows-bush-isn-t-solid-in-colorado.html,nyt,elections,2000,,2000,The New York Times,,2000-09-17,,Gore,
