quote,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,scope,is_quoted_forecaster,conditional_on,reasoning,current_state,page_id,date,publisher,source_text_type,predicted_norm,realized,basis,hit,scorable,unscorable_reason,horizon_used,horizon_basis
"""It is absolutely certain that food prices will be increased corresponding with the railway rate increases.""",prices,worsen,up,na,vague,assertive,expert,Austen P. Fox,national,True,na,rate increase 40% expected to pass through,na,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532543/1920080301/0095.xml,1920-08-03,new-york tribune (new york [n.y.]) 1866-1924,full_page,up,down,CPI,0.0,True,,12.0,default
"""It is only logical to expect that the increased freight rates will be reflected in higher food prices.""",prices,worsen,up,na,vague,hedged,expert,John Roper,national,True,na,freight rates increase,na,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532543/1920080301/0095.xml,1920-08-03,new-york tribune (new york [n.y.]) 1866-1924,full_page,up,down,CPI,0.0,True,,12.0,default
"""We do not foresee any material increase in food prices as a result of the new railway rates.""",prices,improve,stable,na,vague,hedged,expert,na,national,True,na,new railway rates may have limited effect,na,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532543/1920080301/0095.xml,1920-08-03,new-york tribune (new york [n.y.]) 1866-1924,full_page,flat,down,CPI,0.0,True,,12.0,default
"In some cases a lowering of prices is expected to result through the speeding up of freight shipments, which will enable many commodities now being shipped by express, because of the abnormal delays in freight routes, to be turned back to their original and proper channels.",prices,improve,down,na,vague,hedged,layperson,na,national,False,na,faster freight reduces costs,mixed,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532543/1920080301/0095.xml,1920-08-03,new-york tribune (new york [n.y.]) 1866-1924,full_page,down,down,CPI,1.0,True,,12.0,default
"Coal is goln gto advance $2 a ton, the cheerful papers tell us, and we're moved to sympathy for our landlord.",prices,worsen,up,na,vague,assertive,journalist,na,national,False,na,na,na,/service/ndnp/iahi/batch_iahi_marion_ver02/data/sn85049554/00295877212/1920090301/0044.xml,1920-09-03,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,up,down,CPI,0.0,True,,12.0,default
"That the advancing season may be accompanied by Bome renewal of buying activity, seems not improbable but the scope of the improve ment will depend very largely upon tho action of prices.",general_business,improve,na,na,vague,hedged,expert,Duns,national,True,season advancing,price action will drive improvement,bad,/service/ndnp/iahi/batch_iahi_marion_ver02/data/sn85049554/00295877212/1920090301/0044.xml,1920-09-03,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default
Export Trade Wilt Be Aided,general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,na,na,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532567/1920102401/0717.xml,1920-10-24,new-york tribune (new york [n.y.]) 1866-1924,full_page,improve,worsen,INDPRO,0.0,True,,12.0,default
"Said last night the lodge expected to makb at least $20,000.",other,improve,na,na,vague,assertive,official,J. Harry Cunningham,local,False,na,na,na,/service/ndnp/dlc/batch_dlc_akita_ver02/data/sn84026749/00280764723/1920100201/0286.xml,1920-10-02,the washington times (washington [d.c.]) 1902-1939,full_page,improve,worsen,INDPRO,0.0,True,,12.0,default
"that the oil territory in the United States is 40 per cent exhausted, that it will be entirely used up within the next twenty to twenty five years",other,worsen,na,na,vague,assertive,official,Department of Commerce,national,True,na,exhaustion of reserves,bad,/service/ndnp/dlc/batch_dlc_ixtl_ver01/data/sn83045462/0028065680A/1920091301/0390.xml,1920-09-13,"evening star (washington, d.c.) 1854-1972",full_page,worsen,worsen,INDPRO,1.0,True,,12.0,default
"Inasmuch as these gold arrivals will be still larger from now on, more came in at New York today; this tendency should be still more pronounced for the next few weeks than it was last week.",prices,improve,up,na,6,assertive,journalist,na,national,False,na,gold inflows offset currency expansion,mixed,/service/ndnp/dlc/batch_dlc_ixtl_ver01/data/sn83045462/0028065680A/1920091301/0390.xml,1920-09-13,"evening star (washington, d.c.) 1854-1972",full_page,up,down,CPI,0.0,True,,6.0,stated
The schedule will require the operation of eight ships in this trade. With the carrying out of the present plan Baltimore more will again become the principal port for the receipt of coffee imports in this country.,industry,improve,na,na,vague,assertive,official,Green State line officials,regional,True,na,new steamship schedule expands trade,mixed,/service/ndnp/dlc/batch_dlc_ixtl_ver01/data/sn83045462/0028065680A/1920091301/0390.xml,1920-09-13,"evening star (washington, d.c.) 1854-1972",full_page,improve,,,,False,scope=regional (not US national),,
PROSPECTS LOOK GOOD FOR AN EXCEL LENT PRICE FOR BEETS AND SHOULD BE EQUALLY GOOD NEXT YEAR,prices,improve,up,na,12,hedged,expert,Amalgamated Sugar Co.,industry,True,na,na,na,/service/ndnp/idhi/batch_idhi_hatra_ver01/data/sn89055223/00414211562/1920090201/0729.xml,1920-09-02,"the filer record (filer, idaho) 1919-1930",full_page,up,,,,False,scope=industry (not US national),,
the buyer U going to be the big Item in thle winter's eale b usine»*,markets,improve,na,na,vague,assertive,layperson,na,regional,False,na,na,na,/service/ndnp/idhi/batch_idhi_hatra_ver01/data/sn89055223/00414211562/1920090201/0729.xml,1920-09-02,"the filer record (filer, idaho) 1919-1930",full_page,improve,,,,False,scope=regional (not US national),,
"The country may have to endure price readjustment by tits and starts—a sharp general decline, then a partial recovery.",prices,worsen,down,na,vague,hedged,journalist,na,national,False,na,deflation,bad,/service/ndnp/ohi/batch_ohi_kingsley_ver01/data/sn89075140/0041566591A/1920100601/0958.xml,1920-10-06,"the tri-county news (grand rapids, ohio) 1915-1949",full_page,down,down,CPI,1.0,True,,12.0,default
Heavier receipts are expected in October than in September.,general_business,improve,na,na,1,hedged,journalist,na,industry,False,na,seasonal demand,mixed,/service/ndnp/ohi/batch_ohi_kingsley_ver01/data/sn89075140/0041566591A/1920100601/0958.xml,1920-10-06,"the tri-county news (grand rapids, ohio) 1915-1949",full_page,improve,,,,False,scope=industry (not US national),,
the business skies are practically without clouds.,general_business,improve,na,na,vague,assertive,expert,Elbert H. Gary,national,True,na,na,good,/service/ndnp/ncu/batch_ncu_mitchell_ver01/data/sn92073908/00416156578/1920110201/0427.xml,1920-11-02,"the commonwealth (scotland neck, n.c.) 1896-1929",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default
Mr Pease declared that in the absence of outside depressing influences the Rio Grand Valley will have the moat prosperous year in its history.,general_business,improve,na,na,vague,assertive,layperson,C. H. Pease,regional,True,absence of outside depressing influences,no external depressors,mixed,/service/ndnp/txdn/batch_txdn_burnett_ver01/data/sn86063730/00332894882/1920092301/0151.xml,1920-09-23,"brownsville herald (brownsville, tex.) 1910-current",full_page,improve,,,,False,scope=regional (not US national),,
"M. Reiffort added. however, that wi;h all the unfav orable factors the outlook was optimistic and that wl:er i rops have been gathered and si'd the section will In* in good finam:al conditions..",general_business,improve,na,na,vague,hedged,expert,M. Reiffort,regional,True,with all the unfavorable factors,outlook optimistic,bad,/service/ndnp/txdn/batch_txdn_burnett_ver01/data/sn86063730/00332894882/1920092301/0151.xml,1920-09-23,"brownsville herald (brownsville, tex.) 1910-current",full_page,improve,,,,False,scope=regional (not US national),,
"Colonel Persch ... has declared that it will raise the Baumc gravity of Panuco oil from 11 to 10, with a proportionate increase in fluidity.",industry,improve,na,na,vague,assertive,expert,Col. John T. Persch,foreign,True,if tests prove successful,process raises gravity,na,/service/ndnp/txdn/batch_txdn_burnett_ver01/data/sn86063730/00332894882/1920092301/0151.xml,1920-09-23,"brownsville herald (brownsville, tex.) 1910-current",full_page,improve,,,,False,scope=foreign (not US national),,
Shipping interests declare that success of the new process will make Galveston the chief hunkering station for the Eagle ... and in Raymondville ...,industry,improve,na,na,vague,assertive,expert,shipping interests,national,True,success of the new process,process improves fuel oil,na,/service/ndnp/txdn/batch_txdn_burnett_ver01/data/sn86063730/00332894882/1920092301/0151.xml,1920-09-23,"brownsville herald (brownsville, tex.) 1910-current",full_page,improve,,topic 'industry' has no ground-truth series,,False,topic 'industry' has no ground-truth series,12.0,default
"A series of practical tests, which, if they prove as successful ai previous laboratory tests, will revolutionise the fuel oil industry of the cour.tr'.",industry,improve,na,na,vague,hedged,expert,experts,national,True,if tests prove successful,tests successful,na,/service/ndnp/txdn/batch_txdn_burnett_ver01/data/sn86063730/00332894882/1920092301/0151.xml,1920-09-23,"brownsville herald (brownsville, tex.) 1910-current",full_page,improve,,topic 'industry' has no ground-truth series,,False,topic 'industry' has no ground-truth series,12.0,default
a serious blotf to the recovery of English industry from the war will be struck if the coal strike projected by the miners' anion in that country for September 30 goes into effect.,general_business,worsen,na,na,vague,assertive,expert,James Heckscher,foreign,True,if strike goes into effect,strike would paralyze industry,bad,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532555/1920090901/0218.xml,1920-09-09,new-york tribune (new york [n.y.]) 1866-1924,full_page,worsen,,,,False,scope=foreign (not US national),,
"Bankers think the period of reckless expenditures is about at its end. As a consequence, a general drop in prices is looked for.",prices,improve,down,na,vague,hedged,expert,na,national,True,reckless expenditures end,end of reckless spending,bad,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532555/1920090901/0218.xml,1920-09-09,new-york tribune (new york [n.y.]) 1866-1924,full_page,down,down,CPI,1.0,True,,12.0,default
September promises further increase.,general_business,improve,na,na,vague,assertive,journalist,na,industry,False,na,na,mixed,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532555/1920090901/0218.xml,1920-09-09,new-york tribune (new york [n.y.]) 1866-1924,full_page,improve,,,,False,scope=industry (not US national),,
While large rail orders are expected for 1921,markets,improve,na,na,12,hedged,journalist,na,industry,False,na,na,mixed,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532555/1920090901/0218.xml,1920-09-09,new-york tribune (new york [n.y.]) 1866-1924,full_page,improve,,,,False,scope=industry (not US national),,
the likelihood of the Steel Corporation making a general upward revision of its schedule seems more remote.,prices,worsen,up,na,vague,hedged,journalist,na,industry,False,na,na,mixed,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532555/1920090901/0218.xml,1920-09-09,new-york tribune (new york [n.y.]) 1866-1924,full_page,up,,,,False,scope=industry (not US national),,
"the raising of this amount would enable Brazilian coffee trade interests to finance their holding of this commodity and thus restore order to the market, which has been greatly unsettled by the sharp fall in the price of coffee.",markets,improve,na,na,vague,assertive,expert,bankers,foreign,True,na,financing holdings will stabilize market,bad,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532567/1920102701/0839.xml,1920-10-27,new-york tribune (new york [n.y.]) 1866-1924,full_page,improve,,,,False,scope=foreign (not US national),,
"""In fact, there is noted in the reports which form the basis for the review a tone of cheerfulness, born of confidence that underlying conditions are sound and that things will in due course of time right themselves.""",general_business,improve,na,na,vague,assertive,official,Kansas City Federal Reserve Bank,regional,True,na,underlying conditions are sound,mixed,/service/ndnp/dlc/batch_dlc_eustachy_ver01/data/sn83030214/00206532567/1920102701/0839.xml,1920-10-27,new-york tribune (new york [n.y.]) 1866-1924,full_page,improve,,,,False,scope=regional (not US national),,
the art of pastry making is dead or will he soon.,industry,worsen,na,na,vague,hedged,journalist,na,foreign,False,na,na,bad,/service/ndnp/dlc/batch_dlc_hooloovoo_ver01/data/sn83045462/00280656835/1920111201/0612.xml,1920-11-12,"evening star (washington, d.c.) 1854-1972",full_page,worsen,,,,False,scope=foreign (not US national),,
"A reduction of at leant 50 per cent. In the cotton acreage In 1921 and a crop of not more than 6,000.000 bales was predicted by W. B. Thompson, former president of the New Orleans Cotton Exchange, In an address here to-day before the Cot- ton Conference, called to Inaugurate a campaign for a material cotton acreage reduction and crop diversification during the coming planting season.",other,worsen,na,na,12,assertive,expert,W. B. Thompson,regional,True,na,campaign for acreage reduction,na,/service/ndnp/dlc/batch_dlc_quercitron_ver01/data/sn83045774/00271744110/1920120801/0253.xml,1920-12-08,"the new york herald (new york, n.y.) 1920-1924",full_page,worsen,,,,False,scope=regional (not US national),,
"the slowing down of business, coupled with the recent big decline In prices of ... will result In an accumulation of unempl ...",employment,worsen,down,up,vague,assertive,journalist,na,national,False,na,business slowdown and price decline,mixed,/service/ndnp/dlc/batch_dlc_quercitron_ver01/data/sn83045774/00271744110/1920120801/0253.xml,1920-12-08,"the new york herald (new york, n.y.) 1920-1924",full_page,up,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,default
"I am of the opinion that the day may not be fnr ntr uihen Ate demand for motor cars anil trucks will exceed the supply, and tjiat the metropolitan district la already on the up trend",general_business,improve,na,na,vague,assertive,expert,LEB J. EASTMAN,regional,True,na,demand exceeds supply,mixed,/service/ndnp/dlc/batch_dlc_ambrosia_ver01/data/sn83045774/00271744122/1921011601/0533.xml,1921-01-16,"the new york herald (new york, n.y.) 1920-1924",full_page,improve,,,,False,scope=regional (not US national),,
"By keeping in constant touch with these garages we have seen the parentage of Idle trucks decrease until today only about 21 per cent, are inactive. I believe the conclusion ... that a gradual return to better conditions is not only assured but already under way.",general_business,improve,na,na,vague,assertive,expert,LEB J. EASTMAN,regional,True,na,idle trucks decreasing,mixed,/service/ndnp/dlc/batch_dlc_ambrosia_ver01/data/sn83045774/00271744122/1921011601/0533.xml,1921-01-16,"the new york herald (new york, n.y.) 1920-1924",full_page,improve,,,,False,scope=regional (not US national),,
financial outlook Is everything but encouraging.,general_business,worsen,na,na,vague,assertive,journalist,na,regional,False,na,na,bad,/service/ndnp/txdn/batch_txdn_dodge_ver01/data/sn86064239/00200296515/1920121701/0842.xml,1920-12-17,"the snyder signal (snyder, tex.) 1887-????",full_page,worsen,,,,False,scope=regional (not US national),,
we have reason to believe that building movement will take on new life,general_business,improve,na,na,vague,hedged,journalist,na,regional,False,na,na,mixed,/service/ndnp/txdn/batch_txdn_dodge_ver01/data/sn86064239/00200296515/1920121701/0842.xml,1920-12-17,"the snyder signal (snyder, tex.) 1887-????",full_page,improve,,,,False,scope=regional (not US national),,
the cost of rentals must be adjusted to conform to the common level of the cost of living,prices,improve,down,na,vague,assertive,journalist,na,regional,False,na,na,mixed,/service/ndnp/txdn/batch_txdn_dodge_ver01/data/sn86064239/00200296515/1920121701/0842.xml,1920-12-17,"the snyder signal (snyder, tex.) 1887-????",full_page,down,,,,False,scope=regional (not US national),,
The next few days will see moire activity at the well than for some time.,industry,improve,na,na,vague,assertive,journalist,na,industry,False,na,na,good,/service/ndnp/khi/batch_khi_eisenhower_ver01/data/sn85029856/00212473376/1920112501/1171.xml,1920-11-25,"the liberal democrat (liberal, kan.) 1911-1924",full_page,improve,,,,False,scope=industry (not US national),,
"When both these fire up their boilers there will be four active tests in the Liberal field, and it hoped that this will come to pass within the next thirty days at the latest.",industry,improve,na,na,vague,hedged,journalist,na,industry,False,na,na,mixed,/service/ndnp/khi/batch_khi_eisenhower_ver01/data/sn85029856/00212473376/1920112501/1171.xml,1920-11-25,"the liberal democrat (liberal, kan.) 1911-1924",full_page,improve,,,,False,scope=industry (not US national),,
"According to the writer there is a prospect that the price will not again advance, and there is possibility of a further decline.",prices,worsen,down,na,vague,hedged,expert,na,national,False,na,na,bad,/service/ndnp/khi/batch_khi_eisenhower_ver01/data/sn85029856/00212473376/1920112501/1171.xml,1920-11-25,"the liberal democrat (liberal, kan.) 1911-1924",full_page,down,down,CPI,1.0,True,,12.0,default
"I do not think it will be lasting. The satisfaction so widespread over the national election and the belief of good times coming with readjustment, we may look for rising markets and prosperous times generally.",general_business,improve,na,na,vague,hedged,expert,William I. Walsh,national,True,na,belief of good times coming with readjustment,bad,/service/ndnp/vtu/batch_vtu_iceberg_ver01/data/sn86071593/00415628523/1920121001/0484.xml,1920-12-10,"the brattleboro daily reformer (brattleboro, vt.) 1913-1955",full_page,improve,improve,INDPRO,1.0,True,,24.0,inferred_long
"the shortage of officers May 1, 1921, will be equal to seven years' output of the naval academy, Admiral Washington declares.",employment,worsen,na,up,6,assertive,official,Rear Admiral Thomas Washington,national,True,unless remedial legislation is obtained,shortage of officers,bad,/service/ndnp/vtu/batch_vtu_iceberg_ver01/data/sn86071593/00415628523/1920121001/0484.xml,1920-12-10,"the brattleboro daily reformer (brattleboro, vt.) 1913-1955",full_page,up,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,6.0,stated
"If this rate of decrease should continue—and it is likely to, because of the shrinkage of credits to cattlemen—the meat production this year will be nearly a billion pounds less than last year, or a decrease of nearly 5 per cent.",other,worsen,na,na,12,hedged,journalist,na,national,False,rate of decrease continues,shrinkage of credits to cattlemen,bad,/service/ndnp/ndhi/batch_ndhi_kramer_ver01/data/sn89074443/00295864084/1920100401/0534.xml,1920-10-04,"the nonpartisan leader (fargo, n.d.) 1915-1921",full_page,worsen,worsen,INDPRO,1.0,True,,12.0,stated
"So long as the reduction process goes smoothly, and no considerable number of business firms are driven to the wall, the stock market will probably hold up.",markets,improve,na,na,vague,hedged,journalist,na,national,False,reduction process goes smoothly,no firms driven to wall,mixed,/service/ndnp/ndhi/batch_ndhi_kramer_ver01/data/sn89074443/00295864084/1920100401/0534.xml,1920-10-04,"the nonpartisan leader (fargo, n.d.) 1915-1921",full_page,improve,worsen,STOCK,0.0,True,,12.0,default
"but when the cancellation of orders for goods and the withdrawal of bank credit has resulted in closing the leading plants in a wide range of industries, and when the unemployed become a disturbing factor because they can not pay rent or feed their families, then the ""market"" will drop.",markets,worsen,na,na,vague,assertive,journalist,na,national,False,cancellation of orders and credit withdrawal,plant closures and unemployment,bad,/service/ndnp/ndhi/batch_ndhi_kramer_ver01/data/sn89074443/00295864084/1920100401/0534.xml,1920-10-04,"the nonpartisan leader (fargo, n.d.) 1915-1921",full_page,worsen,worsen,STOCK,1.0,True,,12.0,default
Lumber supply for the future will be greatly restricted and prices will be higher.,prices,worsen,up,na,vague,assertive,journalist,na,national,False,na,na,bad,/service/ndnp/ndhi/batch_ndhi_kramer_ver01/data/sn89074443/00295864084/1920100401/0534.xml,1920-10-04,"the nonpartisan leader (fargo, n.d.) 1915-1921",full_page,up,down,CPI,0.0,True,,12.0,default
most re tailers will have their shelves cleared by the end of the year.,general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,na,mixed,/service/ndnp/nbu/batch_nbu_junco_ver02/data/2023271005/00542866196/1920123001/0132.xml,1920-12-30,"the gordon journal (gordon, sheridan county, neb.) 1919-current",full_page,improve,flat,INDPRO,0.0,True,,12.0,default
"the bottom has been reached and the future is by, no means as dark as it was a month ago.",general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,na,bad,/service/ndnp/nbu/batch_nbu_junco_ver02/data/2023271005/00542866196/1920123001/0132.xml,1920-12-30,"the gordon journal (gordon, sheridan county, neb.) 1919-current",full_page,improve,flat,INDPRO,0.0,True,,12.0,default
perhaps the most paintul changes will come when the price of labor is gradually brought down,prices,improve,down,na,vague,hedged,journalist,na,national,False,price of labor is gradually brought down,lower labor costs,bad,/service/ndnp/nbu/batch_nbu_junco_ver02/data/2023271005/00542866196/1920123001/0132.xml,1920-12-30,"the gordon journal (gordon, sheridan county, neb.) 1919-current",full_page,down,down,CPI,1.0,True,,12.0,default
"""Fifth, that the argument that the falling off of our foreign trade will prove ruinous is ill founded. for such trade only constitutes 6 per cent of the total. What little stoppage there may be in this field, therefore, is of little or no consequence and will have no noticeable effect on the general business outlook,""",other,improve,na,na,vague,assertive,expert,Roger W. Rabson,national,True,na,foreign trade only 6% of total,mixed,/service/ndnp/oru/batch_oru_keel_ver01/data/sn90066132/00295867425/1920112001/1260.xml,1920-11-20,"capital journal (salem, or.) 1919-1980",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default
"""Seventh, that all statistics gathered recently offer overwhelming proof that seasonal fluctuations in production in this country are rapidly decreasing. This will prove to be very beneficial, as it will tend to make the demands for labor more constant.""",employment,improve,na,stable,vague,assertive,expert,Roger W. Rabson,national,True,na,seasonal fluctuations decreasing,mixed,/service/ndnp/oru/batch_oru_keel_ver01/data/sn90066132/00295867425/1920112001/1260.xml,1920-11-20,"capital journal (salem, or.) 1919-1980",full_page,flat,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,default
"there will probably be not more than one car of turkeys shipped for the Thanksgiving trade ,it was said.",other,worsen,na,na,vague,hedged,layperson,na,regional,False,na,based on current market,mixed,/service/ndnp/oru/batch_oru_keel_ver01/data/sn90066132/00295867425/1920112001/1260.xml,1920-11-20,"capital journal (salem, or.) 1919-1980",full_page,worsen,,,,False,scope=regional (not US national),,
when the mill starts the wages paid will be less than was paid at the time of suspension.,employment,worsen,na,na,vague,assertive,journalist,na,regional,False,na,mill reopening,bad,/service/ndnp/oru/batch_oru_keel_ver01/data/sn90066132/00295867425/1920112001/1260.xml,1920-11-20,"capital journal (salem, or.) 1919-1980",full_page,up,,,,False,scope=regional (not US national),,
"""The turn of the tide In deelin Ing prices and liquidation in very near."" Charles 11. Sabin, president Guaranty Trust Company.",prices,improve,down,na,vague,assertive,expert,Charles Sabin,national,True,na,deflation easing price pressures,na,/service/ndnp/dlc/batch_dlc_yorkie_ver01/data/sn84026749/00280764747/1920123101/0560.xml,1920-12-31,the washington times (washington [d.c.]) 1902-1939,full_page,down,down,CPI,1.0,True,,12.0,default
"""Employers, wage-earners ... should ... Meduce the price of othrr goods to correspond with the fall in farm'products. If all wages and prices come down together, nobody will be worse off. This is the secret of getting industry started again."" --George L. Itoberts, first vice president National City Bank.",prices,improve,down,down,vague,hedged,expert,George L. Itoberts,national,True,prices and wages both fall together,fall in farm products,na,/service/ndnp/dlc/batch_dlc_yorkie_ver01/data/sn84026749/00280764747/1920123101/0560.xml,1920-12-31,the washington times (washington [d.c.]) 1902-1939,full_page,down,down,CPI,1.0,True,,12.0,default
"""The situation is yet far from normal. Mut credit conditions should be more satisfactory during 1971 than lin IMO lames S."" Alexander, president National Bank of Commerce.",general_business,improve,na,na,12,hedged,expert,Alexander,national,True,na,credit conditions improving,na,/service/ndnp/dlc/batch_dlc_yorkie_ver01/data/sn84026749/00280764747/1920123101/0560.xml,1920-12-31,the washington times (washington [d.c.]) 1902-1939,full_page,improve,flat,INDPRO,0.0,True,,12.0,stated
Bankers Predict 1921 Will See Country Placed Upon Sound Basis Again.,general_business,improve,na,na,12,assertive,expert,na,national,False,na,na,na,/service/ndnp/dlc/batch_dlc_yorkie_ver01/data/sn84026749/00280764747/1920123101/0560.xml,1920-12-31,the washington times (washington [d.c.]) 1902-1939,full_page,improve,flat,INDPRO,0.0,True,,12.0,stated
"""That credit will be more flexible 1921.""",general_business,improve,na,na,12,assertive,expert,na,national,False,na,na,na,/service/ndnp/dlc/batch_dlc_yorkie_ver01/data/sn84026749/00280764747/1920123101/0560.xml,1920-12-31,the washington times (washington [d.c.]) 1902-1939,full_page,improve,flat,INDPRO,0.0,True,,12.0,stated
"""The general thought is that the winter months will be quiet, and that as the spring opens there will be an appreciable change for the better.""",general_business,improve,na,na,vague,hedged,expert,Archer Wall Douglas,national,True,winter months will be quiet,spring opening will boost activity,mixed,/service/ndnp/dlc/batch_dlc_hooloovoo_ver01/data/sn83045462/00280656860/1921010201/0553.xml,1921-01-02,"evening star (washington, d.c.) 1854-1972",full_page,improve,improve,INDPRO,1.0,True,,12.0,default
In the industrial districts there is a general feeling that the situation will improve when prices of commodities reach a figure that will tempt the ultimate consumer to begin purchases for other than his immediate wants.,industry,improve,down,na,vague,assertive,expert,Archer Wall Douglas,industry,True,prices of commodities reach low figure,low prices will tempt consumer spending,poor,/service/ndnp/dlc/batch_dlc_hooloovoo_ver01/data/sn83045462/00280656860/1921010201/0553.xml,1921-01-02,"evening star (washington, d.c.) 1854-1972",full_page,improve,,,,False,scope=industry (not US national),,
"“Under no circumstances will we permit any reduction in the wages of the mine workers of the country. There is not going to be any return to prewar wage conditions. Any reduction in wages is an economic mis take. It never produces any good result. What the mine workers have today we are going to hold, and we propose to continue to make progress instead of going backward.”",employment,improve,na,na,vague,assertive,official,John L. Lewis,national,True,no circumstances,wage cuts are economic mistake,mixed,/service/ndnp/ohi/batch_ohi_lavender_ver01/data/sn88078775/00340580758/1920123101/0432.xml,1920-12-31,"newark leader ([newark, ohio]) 1917-1946",full_page,down,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,default
"Two co-operative tailor shops have been opened at St. Louis, under the direction of the Merchant Tailors’ association, on a plan that will result in a material reduction in clothing prices.",prices,improve,down,na,vague,assertive,journalist,na,industry,False,na,co‑operative plan reduces costs,na,/service/ndnp/ohi/batch_ohi_lavender_ver01/data/sn88078775/00340580758/1920123101/0432.xml,1920-12-31,"newark leader ([newark, ohio]) 1917-1946",full_page,down,,,,False,scope=industry (not US national),,
"Increases of 20 per cent in rates and 10 per cent in salaries to employees, effective December 1, were announced by the Postal Telegraph and Cable company through its secretary, William J. Deegan.",employment,improve,up,na,12,assertive,official,William J. Deegan,industry,True,na,company policy raises wages and rates,na,/service/ndnp/ohi/batch_ohi_lavender_ver01/data/sn88078775/00340580758/1920123101/0432.xml,1920-12-31,"newark leader ([newark, ohio]) 1917-1946",full_page,down,,,,False,scope=industry (not US national),,
"By the use of airplanes mining machinery is to be taken to a mine in Utah, and the output of the mine is to be taken out, reducing the time for the round trip to a few hours, whereas it requires six weeks for mule teams now.",general_business,improve,na,na,vague,assertive,journalist,na,industry,False,na,air transport cuts delivery time,na,/service/ndnp/ohi/batch_ohi_lavender_ver01/data/sn88078775/00340580758/1920123101/0432.xml,1920-12-31,"newark leader ([newark, ohio]) 1917-1946",full_page,improve,,,,False,scope=industry (not US national),,
"the present business depression is purely psychological and that it will soon give way to a more prosperous state of mind… I predict, will be short-lived.",general_business,improve,na,na,vague,assertive,official,K. E. Wait,regional,True,na,psychological nature of depression,bad,/service/ndnp/arhi/batch_arhi_bulbasaur_ver01/data/sn85033000/0041421213A/1921011701/1136.xml,1921-01-17,"the log cabin democrat (conway, ark.) 1908-current",full_page,improve,,,,False,scope=regional (not US national),,
"Better trade conditions between the United States and South America and the Far East cannot be expected until the low rates of exchange and labor conditions in foreign countries have been improved, according to a summary of world business made public by the Department of Commerce.",other,worsen,na,na,vague,hedged,official,Department of Commerce,foreign,True,low exchange rates and labor conditions improve,exchange rates and labor conditions abroad,bad,/service/ndnp/wyu/batch_wyu_imp_ver02/data/sn92067029/00516999159/1921012801/0194.xml,1921-01-28,"the lusk herald (lusk, wyo.) 1907-1917",full_page,worsen,,,,False,scope=foreign (not US national),,
Attache Janes F. Xbbott cabled from Tokyo. and he predicted a severe drop In the Japanese exchange rate.,markets,worsen,down,na,vague,assertive,official,Janes F. Xbbott,foreign,True,na,na,bad,/service/ndnp/dlc/batch_dlc_yorkie_ver01/data/sn84026749/00280764747/1921011101/0819.xml,1921-01-11,the washington times (washington [d.c.]) 1902-1939,full_page,worsen,,,,False,scope=foreign (not US national),,
"Failure of many business houses in China is foreseen by Commercial Attache Julius Arnold, at Peking.",general_business,worsen,na,na,vague,assertive,official,Julius Arnold,foreign,True,na,na,bad,/service/ndnp/dlc/batch_dlc_yorkie_ver01/data/sn84026749/00280764747/1921011101/0819.xml,1921-01-11,the washington times (washington [d.c.]) 1902-1939,full_page,worsen,,,,False,scope=foreign (not US national),,
The revival of business will be preceded by the revival of public confidence.,general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,na,na,/service/ndnp/dlc/batch_dlc_yorkie_ver01/data/sn84026749/00280764747/1921011101/0819.xml,1921-01-11,the washington times (washington [d.c.]) 1902-1939,full_page,improve,improve,INDPRO,1.0,True,,12.0,default
